'0','563572986'
'32','2977635067'
'64','3215864760'
'96','2328660808'
'128','3109526608'
'160','1994797942'
'192','4259258015'
'224','1578495782'
'256','4206585002'
'288','330656098'
'320','646233203'
'352','1730400044'
'384','13557090'
'416','1299658422'
'448','2908617320'
'480','425635413'
'512','3552650388'
'544','4058105868'
'576','172953541'
'608','477067901'
'640','523613317'
'672','296643139'
'704','2675815729'
'736','213544059'
'768','294947843'
'800','3869725623'
'832','4085007916'
'864','2128370037'
'896','1348461798'
'928','1015519916'
'960','3492420743'
'992','370'
